id,Skill,Topic,Link
1,Python,Python and Django Full Stack Web Developer Bootcamp(Udemy),https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/
2,Python,Python Django 2021 - Complete Course(Udemy),https://www.udemy.com/course/python-django-2021-complete-course/
3,Python,Complete Machine Learning & Data Science Bootcamp 2022(Udemy),https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/
4,Python,Google IT Automation with Python Professional Certificate(Coursera),https://www.coursera.org/professional-certificates/google-it-automation
5,Python,Data Science Fundamentals with Python and SQL Specialization(Coursera),https://www.coursera.org/specializations/data-science-fundamentals-python-sql
6,Javascript,The Complete JavaScript Course 2022: From Zero to Expert!(Udemy),https://www.udemy.com/course/the-complete-javascript-course/?gclid=CjwKCAjwjZmTBhB4EiwAynRmD58uQPtjj7qQ30QsxgwZBxLRqSmxoIm5PLtzN8Mxi4nuLw_43etJYBoCA5MQAvD_BwE&matchtype=e&utm_campaign=LongTail_la.EN_cc.INDIA&utm_content=deal4584&utm_medium=udemyads&utm_source=adwords&utm_term=_._ag_80573541753_._ad_556267734653_._kw_javascript+course_._de_c_._dm__._pl__._ti_kwd-301591468701_._li_9300773_._pd__._
7,Javascript,JavaScript: The Advanced Concepts (2022 Update)(Udemy),https://www.udemy.com/course/advanced-javascript-concepts/
8,Javascript,JavaScript for Beginners Specialization(Coursera),https://www.coursera.org/specializations/javascript-beginner
9,Javascript,Web Design for Everybody: Basics of Web Development & Coding(Coursera),https://www.coursera.org/specializations/web-design
10,Javascript,Modern JavaScript From The Beginning(Udemy),https://www.udemy.com/course/modern-javascript-from-the-beginning/
11,Java,The Complete Java Development Bootcamp(Udemy),https://www.udemy.com/course/the-complete-java-development-bootcamp/
12,Java,Learn JAVA Programming - Beginner to Master(Udemy),https://www.udemy.com/course/java-se-programming/
13,Java,Professional Java Developer Career Starter: Java Foundations(Udemy),https://www.udemy.com/course/neutrino-java-foundations/
14,Java,Java for beginners: Create 10 useful complete projects(Udemy),https://www.udemy.com/course/java-for-beginners-create-10-useful-complete-projects/
15,Java,Java Programming - advanced(Udemy),https://www.udemy.com/course/java-programming-advanced/
16,Web Development,Kids Coding - Introduction to HTML CSS and JavaScript!(Udemy),https://www.udemy.com/course/kids-coding-introduction-to-html-css-and-javascript/
17,Web Development,Become a Web Developer from Scratch(Udemy),https://www.udemy.com/course/how-to-become-a-web-developer-from-scratch/
18,Web Development,The Complete 2020 Fullstack Web Developer Course(Udemy),https://www.udemy.com/course/thecompletewebdeveloper/
19,Web Development,The Advanced Web Developer Bootcamp(Udemy),https://www.udemy.com/course/the-advanced-web-developer-bootcamp/
20,Web Development,Full Stack Web Development: Web From Zero with PHP 2022(Udemy),https://www.udemy.com/course/full-stack-web-development-web-from-zero-with-php-2020/
21,Graphic Design,Graphic Design Masterclass - Learn GREAT Design(Udemy),https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
22,Graphic Design,The Complete Graphic Design Theory for Beginners Course(Udemy),https://www.udemy.com/course/graphic-design-theory-for-beginners-course/
23,Graphic Design,Graphic Design Bootcamp: Photoshop Illustrator InDesign(Udemy),https://www.udemy.com/course/graphic-design-for-beginners/
24,Graphic Design,Master Graphic Design & Software with Practical Projects,https://www.udemy.com/course/master-graphic-design-through-projects-beginner-to-advanced/
25,Graphic Design,Graphic Design Mastery: The FULL Branding & Design Process,https://www.udemy.com/course/graphic-design-mastery-the-full-branding-design-process/
26,C++,Beginning C++ Programming - From Beginner to Beyond(Udemy),https://www.udemy.com/course/beginning-c-plus-plus-programming/
27,C++,Complete Modern C++ (C++11/14/17)(Udemy),https://www.udemy.com/course/beg-modern-cpp/
28,C++,Learn Advanced C++ Programming(Udemy),https://www.udemy.com/course/learn-advanced-c-programming/
29,C++,The Complete C++ Developer Course(Udemy),https://www.udemy.com/course/the-complete-cpp-developer-course/
30,C++,C++ Programming Bootcamp - Learn Complete C++ From 0 to 100(Udemy),https://www.udemy.com/course/learn-cpp-programming-language/
